"","stimuli","category","condition","sound","corpes_norm_spain","outlier","element","mean","median","n.char","Number","S1","S2","S3","S4","S5","S6"
"128","nata","food","nasal","n",11.56,"FALSE","word",6.45605263157895,4.855,4,1,"La","nata","va","perfecto","con","café"
"129","navaja","objects","nasal","n",7.62,"FALSE","word",7.26432432432432,6.89,6,4,"La","navaja","de","afeitar","está","desgastada"
"130","navaja","objects","nasal","n",7.62,"FALSE","word",7.26432432432432,6.89,6,1,"La","navaja","corta","el","papel","fácilmente"
"131","navaja","objects","nasal","n",7.62,"FALSE","word",7.26432432432432,6.89,6,3,"La","navaja","suiza","tiene","muchas","funciones"
"132","navaja","objects","nasal","n",7.62,"FALSE","word",7.26432432432432,6.89,6,2,"La","navaja","de","mi","abuelo","mola"
"133","neceser","objects","nasal","n",0.92,"FALSE","word",7.26432432432432,6.89,7,2,"El","neceser","de","cuero","es","elegante"
"134","neceser","objects","nasal","n",0.92,"FALSE","word",7.26432432432432,6.89,7,4,"Este","neceser","es","para","mis","cosméticos"
"135","neceser","objects","nasal","n",0.92,"FALSE","word",7.26432432432432,6.89,7,1,"El","neceser","de","viaje","está","completo"
"136","neceser","objects","nasal","n",0.92,"FALSE","word",7.26432432432432,6.89,7,3,"El","neceser","de","plástico","se","rompió"
"137","nectarina","food","nasal","n",0.19,"FALSE","word",6.45605263157895,4.855,9,4,"La","nectarina","es","deliciosa","en","ensalada"
"138","nectarina","food","nasal","n",0.19,"FALSE","word",6.45605263157895,4.855,9,3,"La","nectarina","es","difícil","de","pelar"
"139","nectarina","food","nasal","n",0.19,"FALSE","word",6.45605263157895,4.855,9,2,"La","nectarina","es","variante","del","melocotón"
"140","nectarina","food","nasal","n",0.19,"FALSE","word",6.45605263157895,4.855,9,1,"La","nectarina","tiene","un","sabor","agridulce"
"141","nevera","objects","nasal","n",14.89,"FALSE","word",7.26432432432432,6.89,6,4,"La","nevera","no","tiene","suficiente","espacio"
"142","nevera","objects","nasal","n",14.89,"FALSE","word",7.26432432432432,6.89,6,3,"La","nevera","necesita","ser","descongelada","pronto"
"143","nevera","objects","nasal","n",14.89,"FALSE","word",7.26432432432432,6.89,6,2,"La","nevera","hace","demasiado","ruido",NA
"144","nevera","objects","nasal","n",14.89,"FALSE","word",7.26432432432432,6.89,6,1,"La","nevera","está","vacía","de","nuevo"
"145","nudo","objects","nasal","n",10.25,"FALSE","word",7.26432432432432,6.89,4,4,"El","nudo","en","la","garganta","persistía"
"146","nudo","objects","nasal","n",10.25,"FALSE","word",7.26432432432432,6.89,4,2,"El","nudo","ata","fuertemente","el","barco"
"147","nudo","objects","nasal","n",10.25,"FALSE","word",7.26432432432432,6.89,4,3,"El","nudo","marinero","es","muy","útil"
"148","nudo","objects","nasal","n",10.25,"FALSE","word",7.26432432432432,6.89,4,1,"El","nudo","del","vestido","se","aflojó"
"149","nuez","food","nasal","n",4.24,"FALSE","word",6.45605263157895,4.855,4,4,"La","nuez","de","Brasil","es","exótica"
"150","nuez","food","nasal","n",4.24,"FALSE","word",6.45605263157895,4.855,4,3,"La","nuez","moscada","se","troza","fácilmente"
"151","nuez","food","nasal","n",4.24,"FALSE","word",6.45605263157895,4.855,4,2,"La","nuez","aporta","textura","al","guiso"
"152","nuez","food","nasal","n",4.24,"FALSE","word",6.45605263157895,4.855,4,1,"La","nuez","es","el","ingrediente","secreto"
"153","paella","food","plosive","p",5.23,"FALSE","word",6.45605263157895,4.855,6,4,"La","paella","es","popular","en","Valencia"
"154","paella","food","plosive","p",5.23,"FALSE","word",6.45605263157895,4.855,6,3,"La","paella","lleva","muchos","ingredientes","frescos"
"155","paella","food","plosive","p",5.23,"FALSE","word",6.45605263157895,4.855,6,2,"La","paella","se","sirve","en","cazuelas"
"156","paella","food","plosive","p",5.23,"FALSE","word",6.45605263157895,4.855,6,1,"La","paella","es","un","plato","español"
"157","pala","objects","plosive","p",3.96,"FALSE","word",7.26432432432432,6.89,4,2,"La","pala","sirve","para","cavar","agujeros"
"158","pala","objects","plosive","p",3.96,"FALSE","word",7.26432432432432,6.89,4,4,"La","pala","se","partió","en","dos"
"159","pala","objects","plosive","p",3.96,"FALSE","word",7.26432432432432,6.89,4,1,"La","pala","es","esencial","en","jardinería"
"160","pala","objects","plosive","p",3.96,"FALSE","word",7.26432432432432,6.89,4,3,"La","pala","se","usa","en","construcción"
"161","paletilla","food","plosive","p",0.46,"FALSE","word",6.45605263157895,4.855,9,1,"La","paletilla","de","jamón","estaba","deliciosa"
"162","paletilla","food","plosive","p",0.46,"FALSE","word",6.45605263157895,4.855,9,3,"La","paletilla","es","un","buen","aperitivo"
"163","paletilla","food","plosive","p",0.46,"FALSE","word",6.45605263157895,4.855,9,2,"La","paletilla","es","un","corte","jugoso"
"164","paletilla","food","plosive","p",0.46,"FALSE","word",6.45605263157895,4.855,9,4,"La","paletilla","es","perfecta","para","guisos"
"165","palillo","objects","plosive","p",1.42,"FALSE","word",7.26432432432432,6.89,7,3,"El","palillo","es","de","madera","frágil"
"166","palillo","objects","plosive","p",1.42,"FALSE","word",7.26432432432432,6.89,7,4,"El","palillo","del","tambor","se","rompió"
"167","palillo","objects","plosive","p",1.42,"FALSE","word",7.26432432432432,6.89,7,1,"El","palillo","de","dientes","es","útil"
"168","palillo","objects","plosive","p",1.42,"FALSE","word",7.26432432432432,6.89,7,2,"El","palillo","chino","es","muy","delgado"
"169","pañuelo","objects","plosive","p",16.14,"FALSE","word",7.26432432432432,6.89,7,3,"El","pañuelo","de","seda","es","suave"
"170","pañuelo","objects","plosive","p",16.14,"FALSE","word",7.26432432432432,6.89,7,4,"El","pañuelo","de","seda","era","carísimo"
"171","pañuelo","objects","plosive","p",16.14,"FALSE","word",7.26432432432432,6.89,7,1,"El","pañuelo","blanco","ondeaba","muy","lentamente"
"172","pañuelo","objects","plosive","p",16.14,"FALSE","word",7.26432432432432,6.89,7,2,"El","pañuelo","llevaba","un","estampado","chulo"
"173","paraguas","objects","plosive","p",11.02,"FALSE","word",7.26432432432432,6.89,8,3,"El","paraguas","es","de","color","amarillo"
"174","paraguas","objects","plosive","p",11.02,"FALSE","word",7.26432432432432,6.89,8,1,"El","paraguas","se","oxidó","y","estropeó"
"175","paraguas","objects","plosive","p",11.02,"FALSE","word",7.26432432432432,6.89,8,4,"El","paraguas","lo","compré","en","rebajas"
"176","paraguas","objects","plosive","p",11.02,"FALSE","word",7.26432432432432,6.89,8,2,"El","paraguas","lo","olvidé","en","casa"
"177","pasas","food","plosive","p",0.96,"FALSE","word",6.45605263157895,4.855,5,3,"Las","pasas","añaden","un","sabor","dulce"
"178","pasas","food","plosive","p",0.96,"FALSE","word",6.45605263157895,4.855,5,4,"Las","pasas","son","un","aperitivo","saludable"
"179","pasas","food","plosive","p",0.96,"FALSE","word",6.45605263157895,4.855,5,1,"Las","pasas","están","en","el","bol"
"180","pasas","food","plosive","p",0.96,"FALSE","word",6.45605263157895,4.855,5,2,"Las","pasas","son","frutas","bastante","deshidratadas"
"181","pavo","food","plosive","p",5.32,"FALSE","word",6.45605263157895,4.855,4,3,"El","pavo","estaba","relleno","de","hierbas"
"182","pavo","food","plosive","p",5.32,"FALSE","word",6.45605263157895,4.855,4,4,"El","pavo","tenía","una","piel","crujiente"
